layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p,mean_p_base,std_p_base,mean_p_patch,std_p_patch,mean_p_base_target,mean_p_patch_target,mean_delta_p_target,mean_delta_logit,std_delta_logit,mean_abs_delta_logit,mean_logit_base,mean_logit_patch,mean_delta_logprob,std_delta_logprob,mean_abs_delta_logprob,mean_logprob_base,mean_logprob_patch,any_nonzero,mean_act_norm,clean_mean_norm
12,15,25,0.0009177112579345703,0.002379197873028171,0.0009497547149658203,0.007979826927185059,0.01743489560514336,0.00889753818511963,0.018872266444354815,0.007979826927185059,0.00889753818511963,0.0009177112579345703,0.0746875,0.09364786102736143,0.08625,7.55265625,7.62734375,0.076484375,0.08861193596413804,0.089921875,-6.49125,-6.414765625,True,1.5569050312042236,1.5569050312042236
15,20,25,0.0008827495574951172,0.0017276313484726371,0.0008835315704345704,0.007979826927185059,0.01743489560514336,0.008862576484680175,0.019076753528840605,0.007979826927185059,0.008862576484680175,0.0008827495574951172,0.12015625,0.10981651956217699,0.12515625,7.55265625,7.6728125,0.086875,0.09054097667372078,0.0890625,-6.49125,-6.404375,True,0.5491832494735718,0.5491832494735718
12,29,25,0.0008633804321289063,0.002432188632324546,0.0008920478820800781,0.007979826927185059,0.01743489560514336,0.008843207359313964,0.019640348925830522,0.007979826927185059,0.008843207359313964,0.0008633804321289063,0.01921875,0.07250841815351511,0.05234375,7.55265625,7.571875,0.045078125,0.060115448825572286,0.056640625,-6.49125,-6.446171875,True,1.2650514841079712,1.2650514841079712
11,16,25,0.0007982158660888672,0.002398518177023421,0.0008335971832275391,0.007979826927185059,0.01743489560514336,0.008778042793273926,0.01916917042284097,0.007979826927185059,0.008778042793273926,0.0007982158660888672,0.05125,0.07972058136861522,0.06375,7.55265625,7.60390625,0.05546875,0.07207639921790454,0.06140625,-6.49125,-6.43578125,True,1.2197775840759277,1.2197775840759277
12,23,25,0.0007761430740356446,0.0025235755942292445,0.0008509111404418945,0.007979826927185059,0.01743489560514336,0.008755970001220702,0.019841631686725033,0.007979826927185059,0.008755970001220702,0.0007761430740356446,0.030625,0.07398961339691539,0.0653125,7.55265625,7.58328125,0.026328125,0.06449245958831157,0.056953125,-6.49125,-6.464921875,True,1.098236083984375,1.098236083984375
13,24,25,0.000758352279663086,0.001850144074103764,0.0007628917694091797,0.007979826927185059,0.01743489560514336,0.008738179206848145,0.019163588492201154,0.007979826927185059,0.008738179206848145,0.000758352279663086,0.06453125,0.0737867360836282,0.07453125,7.55265625,7.6171875,0.074921875,0.06811872820900651,0.075859375,-6.49125,-6.416328125,True,1.0002803802490234,1.0002803802490234
14,24,25,0.0007197856903076172,0.0014877279649125252,0.0007600688934326172,0.007979826927185059,0.01743489560514336,0.008699612617492676,0.018421630290020984,0.007979826927185059,0.008699612617492676,0.0007197856903076172,0.09578125,0.11669751731238759,0.10234375,7.55265625,7.6484375,0.094140625,0.11068412967765523,0.099921875,-6.49125,-6.397109375,True,0.8462899923324585,0.8462899923324585
16,2,25,0.0006667804718017578,0.0038604434210140265,0.0009537220001220703,0.007979826927185059,0.01743489560514336,0.008646607398986816,0.020684656593373717,0.007979826927185059,0.008646607398986816,0.0006667804718017578,0.0028125,0.08428467387372392,0.053125,7.55265625,7.55546875,-0.01875,0.08399255047417152,0.05890625,-6.49125,-6.51,True,0.8435445427894592,0.8435445427894592
14,10,25,0.0006662178039550782,0.001638356062836063,0.0006679725646972656,0.007979826927185059,0.01743489560514336,0.008646044731140137,0.01904375159959095,0.007979826927185059,0.008646044731140137,0.0006662178039550782,0.05796875,0.03857002053894968,0.05796875,7.55265625,7.610625,0.0415625,0.03686192167442237,0.043125,-6.49125,-6.4496875,True,1.0993201732635498,1.0993201732635498
11,17,25,0.0006641912460327149,0.0018921482586687932,0.0006852674484252929,0.007979826927185059,0.01743489560514336,0.008644018173217773,0.01901160630747779,0.007979826927185059,0.008644018173217773,0.0006641912460327149,0.045625,0.0497272836014094,0.050625,7.55265625,7.59828125,0.04234375,0.044131013887273765,0.04671875,-6.49125,-6.44890625,True,0.8588932156562805,0.8588932156562805
