layer,old_acc_base,old_acc_with,old_delta_acc,old_mean_delta_logprob,old_mean_delta_p,new_acc_base,new_acc_with,new_delta_acc,new_mean_delta_logprob,new_mean_delta_p,diff_acc_with,diff_delta_acc,diff_mean_delta_logprob,diff_mean_delta_p
12,0.0,0.0,0.0,3.599430732727051,0.0031964964372235725,0.0,0.6,0.6,5.017006244659424,0.19883470490363833,0.6,0.6,1.4175755119323727,0.19563820846641475
13,0.0,0.0,0.0,2.7993452453613283,0.0014836295638968977,0.0,0.56,0.56,5.3973940658569335,0.24299636924974038,0.56,0.56,2.598048820495605,0.2415127396858435
14,0.0,0.0,0.0,1.6927264785766603,0.00026062398146279973,0.0,0.38,0.38,4.885746097564697,0.16136069015949034,0.38,0.38,3.1930196189880364,0.16110006617802755
15,0.0,0.0,0.0,0.43873119354248047,6.654755439399196e-05,0.0,0.28,0.28,4.101293697357177,0.08610323437285843,0.28,0.28,3.662562503814697,0.08603668681846444
16,0.0,0.0,0.0,0.9428615188598632,0.00010895261904067866,0.0,0.08,0.08,3.477638072967529,0.048845358153484994,0.08,0.08,2.534776554107666,0.04873640553444432
17,0.0,0.0,0.0,0.5919653892517089,4.374305662224742e-05,0.0,0.02,0.02,2.858450660705566,0.0286752879719279,0.02,0.02,2.266485271453857,0.028631544915305653
18,0.0,0.0,0.0,0.5019032287597657,3.5594601675938976e-05,0.0,0.0,0.0,2.4642459106445314,0.01823964160059404,0.0,0.0,1.9623426818847656,0.018204046998918103
19,0.0,0.0,0.0,0.6432562255859375,2.6772227411697713e-05,0.0,0.0,0.0,1.9322172355651857,0.009295868568660808,0.0,0.0,1.2889610099792481,0.00926909634124911
20,0.0,0.0,0.0,0.8386535263061523,3.975706808375889e-05,0.0,0.0,0.0,1.8075239562988281,0.007389988758150139,0.0,0.0,0.9688704299926758,0.00735023169006638
21,0.0,0.0,0.0,0.2631856155395508,6.925977760374735e-06,0.0,0.0,0.0,0.7085081863403321,0.0013730432880402078,0.0,0.0,0.4453225708007813,0.001366117310279833
22,0.0,0.0,0.0,0.12484369277954102,4.5649700422245585e-06,0.0,0.0,0.0,0.6526886749267579,0.0012899616955110104,0.0,0.0,0.5278449821472169,0.0012853967254687858
23,0.0,0.0,0.0,0.0001703643798828125,5.500553513968498e-06,0.0,0.0,0.0,0.4643888282775879,0.0006759991112267016,0.0,0.0,0.46421846389770505,0.0006704985577127331
24,0.0,0.0,0.0,0.28314990997314454,1.0845720789234292e-05,0.0,0.0,0.0,0.35241758346557617,0.000577362999174511,0.0,0.0,0.06926767349243163,0.0005665172783852767
25,0.0,0.0,0.0,0.0805574607849121,3.3111398010987613e-06,0.0,0.0,0.0,0.22655828475952147,0.00036924352123605784,0.0,0.0,0.14600082397460937,0.0003659323814349591
26,0.0,0.0,0.0,0.2532703399658203,7.313717612191794e-06,0.0,0.0,0.0,0.1492278289794922,0.0003143763283151202,0.0,0.0,-0.10404251098632813,0.0003070626107029284
27,0.0,0.0,0.0,-0.15038946151733398,-1.819369006454963e-06,0.0,0.0,0.0,0.03323486328125,0.00010692919851862826,0.0,0.0,0.18362432479858398,0.00010874856752508323
28,0.0,0.0,0.0,-0.45074872970581054,-6.365179237945995e-06,0.0,0.0,0.0,-0.03583745956420899,3.5975905520899685e-05,0.0,0.0,0.41491127014160156,4.234108475884568e-05
29,0.0,0.0,0.0,-0.21869041442871093,-2.020309104295848e-06,0.0,0.0,0.0,-0.4142572021484375,-0.00014872494612063746,0.0,0.0,-0.19556678771972655,-0.0001467046370163416
30,0.0,0.0,0.0,-0.9942927551269531,-1.0583902547693924e-05,0.0,0.0,0.0,-0.9900151824951172,-0.0004938592572671041,0.0,0.0,0.004277572631835924,-0.00048327535471941023
31,0.0,0.0,0.0,0.003295478820800781,6.774390672035225e-06,0.0,0.0,0.0,-0.9884157180786133,-0.0006643552757850558,0.0,0.0,-0.9917111968994141,-0.000671129666457091
