q_id,layer,baseline_layer,super_layer,acc_base_baseline,acc_base_super,diff_acc_base,acc_with_baseline,acc_with_super,diff_acc_with,delta_acc_baseline,delta_acc_super,diff_delta_acc,mean_delta_logprob_baseline,mean_delta_logprob_super,diff_mean_delta_logprob,mean_delta_p_baseline,mean_delta_p_super,diff_mean_delta_p,mean_delta_logit_baseline,mean_delta_logit_super,diff_mean_delta_logit
Q1,27,27,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4934978485107422,0.5256312370300293,0.032133388519287154,0.001964337844401598,0.0020261534824385307,6.181563803693254e-05,0.900390625,0.987890625,0.08750000000000002
Q1,28,28,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4109824180603027,0.41290769577026365,0.0019252777099609264,0.001544421371363569,0.0015564610803266987,1.203970896312967e-05,0.7421875,1.055859375,0.31367187500000004
Q1,29,29,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2741581916809082,-0.23257894515991212,-0.5067371368408203,0.0010420070335385389,0.00011444085830589757,-0.0009275661752326413,0.424609375,0.494140625,0.06953124999999999
Q1,30,30,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18013420104980468,-0.7558128356933593,-0.935947036743164,0.0007067036785883829,0.0009765378963493276,0.00026983421776094474,0.284375,0.63828125,0.35390625000000003
Q1,31,31,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04525747299194336,-0.8963103294372559,-0.8510528564453125,-0.0002437101400573738,-0.0015347417931479868,-0.001291031653090613,-0.005078125,-0.00234375,0.0027343750000000003
Q5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.242197608947754,-0.07242813110351562,-1.3146257400512695,0.007341041398467496,0.0003228087596653495,-0.007018232638802147,1.3265625,-0.422265625,-1.7488281250000002
Q5,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6068974494934083,0.8592473983764648,-0.7476500511169435,0.012975917453877628,0.0031919452536385506,-0.009783972200239077,2.370703125,0.863671875,-1.5070312499999998
Q5,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0209741592407227,0.07069168090820313,2.091665840148926,-0.0005034112487919629,0.002145329277846031,0.0026487405266379938,1.302734375,1.28984375,-0.012890625000000044
Q5,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.8429542541503907,0.3239599227905273,3.166914176940918,-0.0005218788161982957,0.006027708604960935,0.006549587421159231,1.215625,1.953125,0.7375
Q5,4,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6560020446777344,1.6647983551025392,3.3208003997802735,-0.0005813323486563605,0.01242132444604067,0.013002656794697032,2.31328125,2.57734375,0.26406249999999964
