q_id,layer,acc_base,acc_with,delta_acc,mean_delta_logprob,mean_delta_p
Q4,22,0.0,0.1,0.1,0.6163515090942383,0.0058551775786327195
Q4,23,0.0,0.0,0.0,0.4836997985839844,0.00381398510071449
Q4,24,0.0,0.1,0.1,0.5790448188781738,0.004891526678693481
Q4,25,0.0,0.0,0.0,0.5538251876831055,0.003766377302235924
Q4,26,0.0,0.0,0.0,0.42473936080932617,0.003126876155147329
Q4,27,0.0,0.0,0.0,0.38663740158081056,0.0025086236419156194
Q4,28,0.0,0.0,0.0,0.26141929626464844,0.002352635539136827
Q4,29,0.0,0.0,0.0,-0.028898048400878906,0.0044863069982966405
Q4,30,0.0,0.0,0.0,-0.52066011428833,0.0038265512957877945
Q4,31,0.0,0.0,0.0,-1.0758883476257324,-0.004144882161926944
Q5,0,0.0,0.0,0.0,1.242197608947754,0.007341041398467496
Q5,1,0.0,0.0,0.0,1.6068974494934083,0.012975917453877628
Q5,2,0.0,0.0,0.0,-2.0209741592407227,-0.0005034112487919629
Q5,3,0.0,0.0,0.0,-2.8429542541503907,-0.0005218788161982957
Q5,4,0.0,0.0,0.0,-1.6560020446777344,-0.0005813323486563605
Q5,5,0.0,0.0,0.0,0.13969001770019532,0.0006797253226977773
Q5,6,0.0,0.0,0.0,1.3390818595886231,0.009334352026053238
Q5,7,0.0,0.0,0.0,1.805711555480957,0.013513289683032781
Q5,8,0.0,0.1,0.1,2.8323763847351073,0.04204895509610651
Q5,9,0.0,0.1,0.1,3.345575523376465,0.06235384179017274
Q5,10,0.0,0.2,0.2,3.5302671432495116,0.08331262831197819
Q5,11,0.0,0.5,0.5,3.7206130027770996,0.13293994851846946
Q5,12,0.0,0.5,0.5,3.9974833488464356,0.1819533109999611
Q5,13,0.0,0.5,0.5,4.047471332550049,0.19426307945832377
Q5,14,0.0,0.4,0.4,3.8901062965393067,0.13811632035503862
Q5,15,0.0,0.4,0.4,3.5467065811157226,0.0688341838933411
Q5,16,0.0,0.1,0.1,3.1201961517333983,0.044173594324092846
Q5,17,0.0,0.0,0.0,2.506784534454346,0.018501751926669384
Q5,18,0.0,0.0,0.0,2.0549795150756838,0.010001301309966949
Q5,19,0.0,0.0,0.0,1.8054254531860352,0.0071425312125938945
Q5,20,0.0,0.0,0.0,1.7140762329101562,0.00568750556994928
Q5,21,0.0,0.0,0.0,0.5973958969116211,0.0012630964891286566
Q5,22,0.0,0.0,0.0,0.49572324752807617,0.0009714254949358292
Q5,23,0.0,0.0,0.0,0.24713010787963868,0.0007002580212429165
Q5,24,0.0,0.0,0.0,0.2730705261230469,0.0005989990939269773
Q5,25,0.0,0.0,0.0,0.31516408920288086,0.0007740893022855743
Q5,26,0.0,0.0,0.0,0.30351552963256834,0.0006307978706900031
Q5,27,0.0,0.0,0.0,0.17215547561645508,0.0003761037572985515
Q5,28,0.0,0.0,0.0,0.08212299346923828,0.00027838808164233343
