layer,head,n_trials,mean_delta_p,std_delta_p,mean_abs_delta_p
12,30,50,-0.0006369149778038263,0.0027583532501012087,0.0006941878818906844
10,0,50,-0.0006661415100097656,0.0018376406515017152,0.0006909513613209128
21,1,50,-0.0006370079354383051,0.0023350853007286787,0.0006897890707477927
12,7,50,-0.00024799705715849996,0.0018404711736366153,0.0006892049568705261
12,20,50,-0.0006423568702302873,0.0015149785904213786,0.0006790494662709534
16,31,50,0.0006080579478293657,0.0023243778850883245,0.0006701397942379117
11,3,50,-0.00014567494508810341,0.00207966729067266,0.0006661617662757635
15,0,50,-0.000635510659776628,0.0027381195686757565,0.000664416525978595
16,19,50,3.3768414141377434e-05,0.002299115527421236,0.0006636535981670022
15,12,50,-0.00044961331877857447,0.003451826749369502,0.0006542647024616599
15,10,50,-0.00011756539606722072,0.001575246686115861,0.0006521570612676442
13,23,50,0.0003713107143994421,0.0020773219875991344,0.0006483697798103094
14,6,50,0.0005070269107818604,0.0014320993795990944,0.0006424057646654546
20,11,50,0.00040853978134691715,0.0018560162279754877,0.00064207793911919
11,25,50,-0.00047608374734409153,0.002327147638425231,0.000641999242361635
16,17,50,0.0005881297402083874,0.0016949496930465102,0.0006398975965566933
9,4,50,0.0006225037504918873,0.001390849589370191,0.0006360698025673628
30,29,50,-0.0001458239567000419,0.0022685781586915255,0.0006268072174862027
29,10,50,0.0005620920564979315,0.002260162029415369,0.0006238829810172319
28,20,50,0.0002849102020263672,0.0015083116013556719,0.0006150841945782304
29,25,50,-9.562373452354223e-05,0.0019961781799793243,0.0006144011276774108
13,30,50,-0.00037494779098778963,0.0021048649214208126,0.0006134879658930004
14,18,50,0.0002546072064433247,0.0017349723493680358,0.000613439071457833
10,18,50,-0.00021812916384078562,0.001800372265279293,0.0006132602575235069
12,29,50,0.0001358723675366491,0.0018748092697933316,0.0006131291156634688
6,31,50,0.0005840552039444447,0.0015128134982660413,0.0006066000205464661
13,4,50,0.0005773389129899442,0.001366551499813795,0.0006006848998367786
9,5,50,-0.0005855858325958252,0.001617697300389409,0.0006005728500895202
12,3,50,-3.391027348698117e-05,0.0017137863906100392,0.0006000280263833702
14,12,50,0.0005904269055463374,0.0019862730987370014,0.0005972766666673124
13,10,50,0.00024121046590153128,0.0019913162104785442,0.0005945634911768138
24,21,50,0.0005048787570558488,0.0032466005068272352,0.0005945408483967185
17,12,50,0.0003553330898284912,0.0017848502611741424,0.0005815613549202681
17,15,50,-0.0002702093042898923,0.0022320642601698637,0.000580828171223402
9,13,50,-5.0773622206179425e-05,0.0015650104032829404,0.0005803441745229065
14,9,50,-9.453058009967208e-05,0.002122585428878665,0.0005800414364784956
11,19,50,-0.0005441498942673206,0.0015278689097613096,0.0005797434132546186
