q_id,shot,n_trials_used,n_boot,pt_abc_mean,pt_abc_median,pt_abd_mean,pt_abd_median,pt_abc_p_gt1,pt_abd_p_gt1,delta_mean,delta_median,delta_p_gt0,pt_abc_ci2_low,pt_abc_ci2_high,pt_abd_ci2_low,pt_abd_ci2_high,delta_ci2_low,delta_ci2_high,pt_abc_ci1_low,pt_abd_ci1_low,delta_ci1_low
Q11,5,100,10000,0.45668514790925147,0.45387796212281595,1.9688405158393445,1.9644253219757153,0.0,1.0,1.512155367930093,1.5053316024784738,1.0,0.363249623306102,0.5622976476078239,1.7166948640305937,2.2611661497410216,1.2267263032548015,1.8339857768406815,0.3772209063736122,1.749053746599423,1.2683827756003279
Q11,7,100,10000,0.5870082017283702,0.5831506731500371,2.2376418619926013,2.2321346233605945,0.0,1.0,1.650633660264231,1.6465237726212472,1.0,0.47608944952617843,0.7199950263692015,2.0047389293371545,2.511173262095859,1.353999015677387,1.985711847195322,0.49170327986664597,2.0382799310170774,1.3987863175970923
Q11,10,100,10000,1.023533031779067,1.012250982556954,2.3131023003394664,2.3085526027942818,0.5367,1.0,1.2895692685603994,1.2953385684791412,1.0,0.7938234497243584,1.3139698148706616,2.1453574526440877,2.505004673654786,0.8960907242167622,1.6591628528283866,0.8242826829295031,2.170811571974046,0.9555046498374303
Q13,1,100,10000,1.1529374996077058,1.1523571097653198,1.6046919908226023,1.5979245142622247,1.0,1.0,0.4517544912148965,0.44513786877421924,1.0,1.084460559560258,1.2233857412789695,1.4259453855883324,1.821757837117258,0.2894693269404812,0.6490422472603751,1.0957221703195827,1.4519334803555568,0.31366393276717675
Q13,3,100,10000,1.131575025314218,1.1312138444909698,1.4403177610234164,1.4269943722221923,1.0,1.0,0.3087427357091984,0.2967193289759662,0.9937,1.0600377400802934,1.2079654531733606,1.1598834981646053,1.797376540903739,0.055079528182500045,0.6374099928316798,1.0709662645546634,1.2001230659297257,0.09098353596340507
Q13,5,100,10000,1.1379313590883489,1.1377782070723361,1.46708713883551,1.4500466659894222,0.9998,0.9986,0.3291557797471611,0.31317562009598876,0.9831,1.0631375947441677,1.2153672913980116,1.1338856508484392,1.8961467387673707,0.023756770976847173,0.725587987682459,1.0749676885001043,1.177789078647817,0.06417199887259165
Q13,7,100,10000,1.1419245586239475,1.1409124630720382,0.9615089722215849,0.9409652494138274,0.9995,0.2722,-0.18041558640236263,-0.19400997285972804,0.029,1.0590196288611096,1.2311480404532447,0.8502761169037869,1.1827615839459558,-0.30274445676308676,0.009544137270335618,1.07175130280248,0.8577893261074925,-0.2879084497542891
Q13,10,100,10000,1.1377993121464463,1.1378547558716852,1.5159836400840228,1.510039497656007,0.9994,1.0,0.37818432793757667,0.3725470409603784,0.9923,1.0528324418562578,1.2251096058380624,1.2556347726906272,1.8175309682961134,0.06212926624673173,0.7309698004728161,1.0659969818692088,1.2942993110310446,0.10867283645831453
Q16,1,100,10000,0.6542005834331303,0.6513562902764227,1.005044521632561,0.9975078422344561,0.0,0.4918,0.35084393819943066,0.3450138145184804,1.0,0.6124513164347327,0.7105621569135615,0.7829879682832499,1.2710635004642397,0.13033201946277137,0.6045055629813397,0.6180895568545497,0.8123576390459164,0.16087703022080602
Q16,3,100,10000,0.828912598025165,0.8254714962445691,0.8541972326867122,0.8483085393907428,0.0,0.057,0.025284634661547015,0.02001811810575438,0.5941,0.783644677693207,0.8928020539048571,0.7013626664530556,1.0422494130471684,-0.1368121882898149,0.21363430748641207,0.7889146164989584,0.7232965072599303,-0.11335730687494357
Q16,5,100,10000,1.1594709051023904,1.158960267979583,0.4813601012883915,0.4787662344518767,0.999,0.0,-0.6781108038139986,-0.6792588909049156,0.0,1.060306037793915,1.2634078207774575,0.40105088773796804,0.5792958519490328,-0.8075255833705363,-0.5482221974503101,1.076089075179073,0.41113234707502144,-0.7837710964966048
Q16,7,100,10000,1.3232438265763984,1.3214864793173757,0.40291809690960134,0.3990652624410873,1.0,0.0,-0.9203257296667969,-0.9195429690011377,0.0,1.219564000660393,1.4376665469611725,0.35937768483833815,0.46908390750338985,-1.0498932688396183,-0.798631535496786,1.2347899200607886,0.3648037493705567,-1.0252925269025952
Q16,10,100,10000,1.6984710722622178,1.6970182024250655,0.418505944979426,0.4168501090256683,1.0,0.0,-1.2799651272827917,-1.2792439226253305,0.0,1.5725545493596766,1.8355381324939135,0.3673934053717506,0.4797635067923213,-1.4207823422037222,-1.1387104626097273,1.5924348519457872,0.37479882115468693,-1.3967016984486134
Q17,1,100,10000,1.3126649500840328,1.3063386904633882,0.9790059312262601,0.9773780693408041,0.9986,0.3487,-0.3336590188577727,-0.3273614645686419,0.0,1.0961928044559273,1.5585056053362751,0.8687096312206631,1.100664185745192,-0.5537177524846818,-0.14013181392022173,1.1283772320574077,0.8840041322679787,-0.5163670553115228
Q17,3,100,10000,0.8403685865897671,0.8338636146827514,0.9633105769827758,0.9618258969097413,0.0052,0.1621,0.12294199039300861,0.12799173697741006,0.9576,0.7654273957150628,0.951514486956104,0.8926453501593187,1.0420619940350972,-0.019573143800546585,0.24225031852359702,0.7725003876645473,0.9041294615147434,0.006310978042638063
Q17,5,100,10000,0.8155072245015361,0.8024969448521,1.3415486260487386,1.3369290344011746,0.012,1.0,0.5260414015472024,0.5258943661055393,1.0,0.7327742230423991,0.9678434748690595,1.185761932305176,1.525435051597433,0.34633463919271823,0.7064063933392054,0.740046174531795,1.2068856369915875,0.37897840585188747
Q17,7,100,10000,1.025120858923894,1.0187280656921904,1.5713234919974863,1.5629101922112199,0.5701,1.0,0.546202633073592,0.5445083621290122,1.0,0.8204902420412797,1.2592901768732532,1.3581463085709211,1.8397103824552505,0.30925898618572784,0.7896555567734651,0.8528675543958768,1.3864561118188214,0.3502099913428152
Q17,10,100,10000,1.0088194858546002,1.0006789383933175,1.6666110366317393,1.6582152204715102,0.5028,1.0,0.6577915507771394,0.6566324155788911,1.0,0.8040184506438817,1.2537237970201465,1.4489983235907995,1.9308178476226612,0.4219089386303127,0.9033628792469444,0.8327550373239878,1.480079350654697,0.45736054017405814
Q18,1,100,10000,1.1439872510376767,1.1434544246669471,1.6891536428235192,1.679763681826375,1.0,1.0,0.5451663917858423,0.5358038706918238,1.0,1.0822781826934262,1.2089465433236917,1.4366345873825503,1.9879063555642653,0.33127376042653894,0.8015877825504447,1.092255186775771,1.4722305638879472,0.36222494595335225
Q18,3,100,10000,1.0718255672794608,1.0711915889546395,0.9543237353650879,0.9348035690492761,0.975,0.2419,-0.11750183191437275,-0.13350469692375416,0.0937,1.0001125809213718,1.1431955446914428,0.8530841202792222,1.151173700918491,-0.23092173346369196,0.08211963071449008,1.0118817767544837,0.8597493383409022,-0.21961735620087314
Q18,5,100,10000,1.045494991034111,1.0451079679020738,1.2369947706752256,1.2287064312660396,0.8859,0.9389,0.19149977964111475,0.18205175421200148,0.8606,0.9729027273765757,1.1193983609422855,0.9464295160028536,1.5815134033571252,-0.13177404789590746,0.5675650811531039,0.9846921237444729,0.9880758086787386,-0.08793278099156987
Q18,7,100,10000,1.0890616745398582,1.088866085590245,1.4710980273642782,1.463392277122091,0.9967,0.9989,0.3820363528244197,0.3727490957778059,0.9864,1.0240167218262997,1.1538475806407584,1.1486343738668685,1.843429787031965,0.04318388036238982,0.7718882167835268,1.0349203808985519,1.1982906822805715,0.09411144424077279
Q18,10,100,10000,1.0469545778637752,1.0467871431777303,1.7258244452051716,1.714259784012708,0.9802,1.0,0.6788698673413963,0.6674946920882491,1.0,1.0021847020432653,1.0936641694399283,1.4124600852243763,2.1054095686633114,0.34020302457972057,1.0749358715590906,1.008885713018123,1.4543597192161617,0.39166790193118717
Q3,1,100,10000,1.0565168402431366,1.055541233104726,0.8925730952490935,0.8918778191176859,0.8778,0.0,-0.16394374499404307,-0.1640179310905941,0.0018,0.9599984254507902,1.1565417961790354,0.845590546927127,0.9444256142422753,-0.2664994260708402,-0.06069181170044348,0.9761341242939567,0.8517337068779023,-0.24904704206574624
Q3,3,100,10000,2.021460579162017,2.0029763341205404,0.6442664599143418,0.641702740659468,1.0,0.0,-1.377194119247675,-1.3605455991055575,0.0,1.6230478856703798,2.52989150591648,0.5823542756497622,0.7221524081687878,-1.8740661890269243,-0.9708457339592105,1.6746583836090547,0.5898517390618042,-1.7831085567243696
Q3,5,100,10000,3.106088470519669,3.0772813880270453,0.63481637015753,0.6321438920842928,1.0,0.0,-2.471272100362139,-2.4431845755443637,0.0,2.487623200535703,3.894754569863513,0.5948618930537112,0.6883794452083278,-3.2501615591109823,-1.8385720985241893,2.577231921831344,0.6001695876967811,-3.098406120846491
Q3,7,100,10000,3.608196297353911,3.5818716629621212,0.7491034976484934,0.7479688822226485,1.0,0.0,-2.8590927997054174,-2.832754059638674,0.0,2.999384730523006,4.347965274256761,0.6872036706725868,0.8186468719552247,-3.615738605891908,-2.218986020898792,3.0803418886129372,0.6953886833023591,-3.481440370583632
Q3,10,100,10000,3.7780550031235367,3.7553549862088937,0.9961987552806404,0.9957849780676502,1.0,0.436,-2.7818562478428963,-2.758635073719665,0.0,3.2280424253194426,4.465953667506239,0.9463045156541727,1.0467192029031958,-3.446302276481563,-2.248279559996135,3.3048591153238944,0.9545601152492963,-3.316402783440738
